Ship,Manufacturer,Production,Capacity
300i,Origin Jumpworks,Flight ready,8 SCU
Syulen,Gatac Manufacture,Flight ready,6 SCU
Salvation,Roberts Space Industries,Flight ready,6 SCU
Reliant Kore,Musashi Industrial and Starflight Concern,Flight ready,6 SCU
Aurora CL,Roberts Space Industries,Flight ready,6 SCU
135c,Origin Jumpworks,Flight ready,6 SCU
Paladin,Anvil Aerospace,Flight ready,4 SCU
Mustang Alpha Vindicator,Consolidated Outland,Flight ready,4 SCU
Mustang Alpha,Consolidated Outland,Flight ready,4 SCU
Cutter,Drake Interplanetary,Flight ready,4 SCU
CSV-SM,Argo Astronautics,Flight ready,4 SCU
C8X Pisces Expedition,Anvil Aerospace,Flight ready,4 SCU
350r,Origin Jumpworks,Flight ready,4 SCU
325a,Origin Jumpworks,Flight ready,4 SCU
ROC-DS,Greycat Industrial,Flight ready,3.4 SCU
Aurora MR,Roberts Space Industries,Flight ready,3 SCU
Aurora LX,Roberts Space Industries,Flight ready,3 SCU
Aurora LN,Roberts Space Industries,Flight ready,3 SCU
Aurora ES,Roberts Space Industries,Flight ready,3 SCU
Redeemer,Aegis Dynamics,Flight ready,2 SCU
MPUV Cargo,Argo Astronautics,Flight ready,2 SCU
G12,Origin Jumpworks,Long term production,2 SCU
F7C Hornet Wildfire Mk I,Anvil Aerospace,Flight ready,2 SCU
F7C Hornet Mk II,Anvil Aerospace,Flight ready,2 SCU
F7C Hornet Mk I,Anvil Aerospace,Flight ready,2 SCU
F7A Hornet Mk II,Anvil Aerospace,Flight ready,2 SCU
Cutter Scout,Drake Interplanetary,Flight ready,2 SCU
Cutter Rambler,Drake Interplanetary,Flight ready,2 SCU
125a,Origin Jumpworks,Flight ready,2 SCU
100i,Origin Jumpworks,Flight ready,2 SCU
ROC,Greycat Industrial,Flight ready,1.2 SCU
Reliant Tana,Musashi Industrial and Starflight Concern,Flight ready,1 SCU
Mule,Drake Interplanetary,Flight ready,1 SCU
Cyclone,Tumbril Land Systems,Flight ready,1 SCU
MTC,Greycat Industrial,Flight ready,0.5 SCU
Ranger CV,Tumbril Land Systems,In concept,0.375 SCU
MDC,Greycat Industrial,Flight ready,0.25 SCU
STV,Greycat Industrial,Flight ready,0.2 SCU
ATLS GEO,Argo Astronautics,Flight ready,0.1 SCU
